GENE	SHHDAC3	SHHDAC3_HOXB13
PCDH11Y	-3.796650002	-4.279475016
TENM1	-3.708656283	-1.9383248
SCN4B	-3.22960153	-2.100984348
NMU	-2.994581306	-4.417211538
GRIN3A	-2.857289253	-4.472110951
NCAPG	-2.742730905	-2.695536732
CENPK	-2.721736741	-1.783283669
FAM131B	-2.670726472	-3.825063123
SGOL1	-2.661928784	-2.428985882
TMEM179	-2.656564717	-4.471884759
TMEFF2	-2.624300425	-2.721286904
NEK2	-2.521926712	-2.808227771
DLGAP5	-2.512152374	-2.433229512
ASPM	-2.485422357	-2.189165095
PKMYT1	-2.481329381	-2.434834664
MAD2L1	-2.460745885	-2.452291375
PBK	-2.450607772	-2.24017382
MELK	-2.447901437	-1.925533787
NTSR1	-2.444906107	-1.843639509
ARHGAP11A	-2.443288061	-2.371043707
CENPF	-2.438646449	-2.164307467
BMX	-2.392053251	-3.496901558
BIRC5	-2.390591242	-2.238531784
KIF14	-2.342785466	-2.096599293
CEP55	-2.331311115	-2.286190164
CENPH	-2.322575318	-1.659422804
NUSAP1	-2.321611129	-2.431428638
BRCA1	-2.288915136	-2.138412214
SPC25	-2.27242102	-1.952765446
KIF20A	-2.266012579	-2.506065712
ESCO2	-2.223422655	-2.483980154
DIAPH3	-2.222718334	-2.491439674
DTL	-2.219514136	-1.707010776
RRM2	-2.213749843	-2.436285923
E2F1	-2.211916415	-2.011516268
ACBD7	-2.205280991	-2.01025808
THRIL	-2.191227885	-2.359455611
SPC24	-2.190036784	-1.863587285
DDIAS	-2.188503252	-3.265634388
ANTXR1	-2.180244861	-3.49195124
ZNF695	-2.165500482	-1.330524596
MAP7D2	-2.16433522	0.416298005
MKI67	-2.163199874	-2.049661447
KRT14	-2.154346077	-2.321266658
GPR158	-2.152514962	-1.58391361
TERT	-2.144211112	-0.680388546
KIF18A	-2.140176966	-2.117998654
EXO1	-2.131656626	-2.853917274
DEPDC1	-2.121532754	-2.71689303
ZNF728	-2.110180515	-1.198563909
KIFC1	-2.109410299	-2.544384817
MCM10	-2.10757402	-2.244643782
NUF2	-2.092502547	-2.017627587
PRR11	-2.075437196	-2.068007491
CDCA8	-2.07038112	-1.843178824
CDCA3	-2.070035661	-1.772824245
BLM	-2.061724924	-2.527226427
DNASE1L3	-2.045189035	-2.184348597
DSCC1	-2.033013901	-1.354526308
IQGAP3	-2.023494747	-1.897825057
DEPDC1B	-2.014272007	-1.845671874
BUB1B	-2.009782652	-2.023746053
PIF1	-1.992037688	-2.20720276
ARHGAP19	-1.987791655	-1.751471099
OIP5	-1.986076649	-1.982476706
C16orf59	-1.983512901	-1.478324347
CDCA5	-1.965729635	-2.110024335
CIT	-1.964130191	-1.871787577
CDKN3	-1.956727395	-1.77711238
CDC45	-1.956180308	-2.966803022
HMMR	-1.951668992	-2.083102623
TCF19	-1.948871303	-1.979958966
CASC5	-1.939943211	-2.22251849
KIF23	-1.934518422	-1.741200179
TPX2	-1.930924794	-2.120866607
MANEA	-1.929271599	-3.115686846
TTK	-1.917512131	-2.32290077
UBE2C	-1.912515418	-1.811311777
SLITRK3	-1.905528614	-2.224105219
KIF2C	-1.89941649	-1.945684648
