GENE	HOXB13	SHHDAC3_HOXB13
PCDH11X	8.986796002	3.081407634
RPE65	7.136180072	2.27711851
AOC1	5.457858015	0.458989447
SHCBP1L	5.26285475	3.500179222
MEGF10	5.223308796	1.482086854
PKLR	4.987256734	1.882586237
SEMA5A	4.737245375	-0.492265369
FREM1	4.57395351	2.751585751
TGFB3	4.360249567	0.92204424
KL	4.080350673	2.2871129
SLC12A3	3.98483243	0.99555372
SMCO3	3.757003441	2.420855615
GIMAP6	3.62160471	2.127782407
KCND2	3.566188917	0.553023929
HECW2	3.559790326	-1.078363598
CBLN2	3.261529364	1.850355448
NT5E	3.258171515	1.007929924
ORM1	3.083068942	0.833634981
CD200	2.958263305	1.156405585
TSPAN12	2.955800327	1.180196432
ORM2	2.926010201	1.258119619
LRRTM4	2.920182113	-0.158421485
P3H2	2.887367267	0.761254449
PCDH11Y	2.850010041	2.370135936
SLC38A4	2.798792827	1.18858069
AMOTL1	2.561545826	0.779356256
EPHA5	2.506440853	1.639656573
BVES	2.489546425	0.227553179
GRIN3A	2.471895088	0.868267377
OPRK1	2.457099777	-0.387542834
OR51E2	2.425735544	0.922455105
FSTL4	2.376242378	-0.198142884
IL1F10	2.356672757	0.73378045
LOC389831	2.273659581	0.664966603
KEL	2.271109587	0.201491356
TMEM169	2.269180935	-0.818143971
CDH6	2.268493152	1.623042427
JAG1	2.253329799	0.408670718
SLITRK6	2.212617733	0.409382722
CREB5	2.212274921	0.484921692
NRG3	2.203357505	-0.264247885
ACTRT3	2.188555072	0.458410526
EPHX4	2.154808662	0.369090087
FAM110B	2.147723714	0.384084807
LINC00869	2.092819067	0.57298386
HGFAC	2.086837609	1.469833217
S1PR3	2.069507068	1.347046059
VAV3	2.067229893	0.323185737
LRRN1	2.064890516	0.554277909
ZNF503-AS1	2.060636809	0.277232171
COL5A2	1.950547347	0.134331328
C5orf46	1.941699715	0.282007336
LOC101927973	1.94012824	-0.449643538
NTNG2	1.926877013	0.488533089
MYB	1.877570652	0.66931755
RELN	1.859391912	0.270666448
MYNN	1.85423614	0.383134892
CALCRL	1.853290734	-0.298514223
EPHA7	1.851015572	0.279671727
EPB41L3	1.837689477	-0.119981295
MANEA	1.806697083	0.623502896
LOC100132057	1.790739864	0.389632083
LINC00940	1.760522249	0.100375766
GRIK2	1.744504634	0.359108016
TBX15	1.735200941	-0.100726167
EFCAB11	1.705761239	0.518652612
ANKRD44	1.673158108	0.471913504
KCNK13	1.66851846	0.490375801
NUP93	1.657114591	0.431241569
ANTXR2	1.64710753	0.587398065
EML5	1.630228548	0.112039469
FSTL1	1.58970631	0.134798403
PABPC5	1.5795363	0.300216969
PIK3AP1	1.571165008	0.553289365
TLL2	1.570928449	0.477960723
FHOD3	1.558628375	0.236012326
ADD3	1.552868393	0.034112654
BMX	1.54010294	0.438272727
TSPAN13	1.538364678	0.379617293
SLC40A1	1.535418913	0.47708127
ZP1	1.51297228	0.628714632
KRT19	1.509269745	0.371478251
F5	1.494246817	0.155568156
MYH15	1.492224691	0.058936191
HOXA5	1.484238813	-0.101783522
HSPA12B	1.472141641	1.38849663
LOC647859	1.461429518	0.94400932
STARD13	1.452208576	0.42378423
UHRF2	1.439445577	0.598243325
LINC01138	1.43719661	0.198015934
NIPAL3	1.435361472	0.108242127
MAPK10	1.416974104	0.304944102
CA13	1.407304772	0.440363323
REEP1	1.393669723	0.423547768
NKX3-2	1.385131557	0.99388884
KRT14	1.384356894	1.226504309
HSPA4L	1.379404141	-0.152081543
HHIPL2	1.373432824	0.421100889
CYP2U1	1.371377304	0.569793471
NETO2	1.360946556	0.3798882
MT1X	1.357324714	0.673827987
MFI2	1.32086042	0.30970897
LAT2	1.316969135	-0.054854534
NRP1	1.311228561	0.292576667
ARL4D	1.296835742	0.395024296
LOC100506124	1.276407493	0.387154549
DPY19L1	1.272901549	-0.464269551
RASSF8	1.271325686	-0.208680907
MANEA-AS1	1.269758539	0.649923799
LTC4S	1.265598888	0.137390128
PBX3	1.26515659	0.338482414
PTPN21	1.259843133	-0.030348087
FLJ37201	1.25862372	-0.144742868
CSPP1	1.257058354	0.211486112
DST	1.253691471	0.345268494
DSEL	1.238754375	0.251902877
RAB32	1.234812991	0.244859089
MT1F	1.230975371	0.072986177
LINC01351	1.225533696	0.481079267
HOXB13	1.218843865	0.185024667
EFNA5	1.215852782	0.469297343
GPC5-AS1	1.210587201	0.549927045
CHAC2	1.199755623	-0.2781165
PTPRR	1.197309616	0.19715511
HOXA11-AS	1.189533949	1.352571883
TMEM179	1.188278054	-0.60768772
MAP2K6	1.158082189	0.520680949
IRS2	1.157159317	0.418479813
ITGB2	1.156879691	0.099021148
SPRED1	1.156018549	0.602627167
DEPDC1	1.154797489	0.560014801
RDH12	1.142693409	0.25085625
SLC1A4	1.141517704	0.170171036
TSGA10	1.135019512	0.036065302
CTBP2	1.127299632	-0.001478884
LOC100506985	1.125656195	0.374112922
STPG1	1.124898739	0.040116681
RCAN3	1.114871711	-0.006050771
LYN	1.111680356	0.571465846
MCM6	1.110871138	-0.261380233
RTN1	1.105647411	0.856542541
KCNC2	1.100251681	0.619734063
GPR137C	1.099110734	0.288311716
PRKCA	1.089482546	-0.206387331
C5orf30	1.088834418	0.617553653
GPR63	1.087510224	0.207280225
NDUFAF4	1.074329068	0.293950921
VSTM2L	1.072706537	0.265753765
C4orf29	1.067452529	0.163626769
CNGA1	1.066726617	0.115836506
NEK1	1.06159133	0.138272174
ELAC1	1.061267468	-0.168940008
IRS1	1.058709749	-0.569111212
GPER1	1.056390698	0.091449633
CA4	1.054946528	0.11969643
SIAE	1.037753945	0.055397682
LOC101926935	1.030578013	-0.461236747
IFT57	1.020204304	0.37202753
SLC25A21-AS1	1.012601939	-0.052020297
RAMP1	1.004168002	0.204569599
MC1R	1.002296273	0.105281114
LOC103091866	1.00158489	0.514742059
CASP10	-1.000325818	-0.303608655
LOC100294362	-1.003423359	-0.028556053
CYP3A5	-1.008848279	0.054875233
DUSP1	-1.009403012	-0.275886487
ATG9B	-1.010376547	-0.021085344
LOC440910	-1.010878929	-0.396446992
RPS6KA5	-1.010975711	-0.394921324
CHRNA4	-1.018095765	0.041942986
PAG1	-1.018445316	-0.258780223
SDC4	-1.029629787	-0.24628572
ARHGAP26	-1.030687897	-0.069129521
HERC3	-1.03303774	0.030886954
ERO1A	-1.0405348	0.018989493
ACSM1	-1.043673505	-0.099685864
NOS3	-1.043827159	-0.106025925
ZNF391	-1.044960184	-0.41512883
AGBL3	-1.06219254	0.262129988
GLP1R	-1.064020846	-0.036747974
TNFAIP3	-1.071736649	-0.264210841
SYTL2	-1.073188312	-0.178600651
NFKBIA	-1.076349365	-0.157585936
RELB	-1.077282735	0.085086983
KCNH8	-1.079022039	0.109497606
PSTPIP2	-1.081169406	-0.08715886
LINC00342	-1.088063588	-0.264914258
TP53INP1	-1.089751518	-0.107057806
BBC3	-1.093383104	-0.236991099
IFI27	-1.096386497	0.031965074
CEACAM1	-1.104023141	0.453494447
NDRG1	-1.108496197	-0.248882807
UGT2B10	-1.109135764	-0.383350799
AMACR	-1.110510285	-0.279517006
FAM92A1	-1.118773701	-0.350308494
TRANK1	-1.121886301	-0.39084889
HERC5	-1.124102386	-0.078455027
PPP3CB-AS1	-1.124935428	-0.112845098
HMGCS2	-1.13050904	-0.359361671
C10orf10	-1.130907124	-0.194689456
LOC101927770	-1.139840493	-0.073094919
TSC22D3	-1.149350425	-0.030440743
CMPK2	-1.151027578	-0.189122046
PRUNE2	-1.156856272	-0.073535474
DHRS3	-1.161828862	-0.21197571
IRAK2	-1.168790429	0.120057734
JUNB	-1.172661573	-0.385564841
CECR1	-1.176778674	-0.123516303
MIR3189	-1.177718302	-0.338934014
INPP4B	-1.182345266	-0.33833487
NFKB2	-1.206592235	-0.156128486
HES1	-1.212414798	-0.200967475
DDX60	-1.216976996	-0.403762963
ACSL3	-1.223916307	-0.243261366
DDX58	-1.224840289	0.021745402
TNS4	-1.235212875	-0.187476177
FFAR2	-1.24239923	-0.331903915
TNFAIP2	-1.250950787	-0.111187059
FN1	-1.258232514	-0.218102574
SCUBE1	-1.259591018	0.141347693
GDF15	-1.281613362	-0.385028807
BCL3	-1.283149079	0.006480341
OAS1	-1.308749363	-0.354090091
SH3D21	-1.311702306	-0.401290163
NDRG4	-1.312051603	-0.362721146
RARRES3	-1.313442631	-0.072073364
LDLRAD1	-1.317478075	-0.128276621
SAT1	-1.333746458	-0.192993293
HILPDA	-1.335214678	-0.355383338
APOL6	-1.344931878	-0.034313557
XG	-1.345149578	0.048001638
FANK1	-1.37002566	-0.317801318
KLF4	-1.370893726	-0.021873199
PNPLA3	-1.376033685	-0.014850104
C5orf56	-1.378735753	-0.210803324
UGT2B28	-1.392696264	-0.442408247
SIPA1L2	-1.393052164	-0.444845898
MALT1	-1.394670149	-0.021925001
DIO3	-1.398944631	-0.110320002
PLB1	-1.402509235	-0.244732815
C8orf4	-1.420683692	-0.289970394
ELF3	-1.42123788	-0.321596713
LRG1	-1.435334267	0.053540707
LRFN2	-1.438089951	0.283252345
PTPRH	-1.444701908	-0.887207805
IL2RG	-1.456273959	-0.478085999
FOS	-1.461172903	0.297127719
LOC101927843	-1.464121024	0.073689078
BCAS1	-1.468661172	-0.168271826
UGT2B11	-1.470233386	-0.531721304
RUNX2	-1.484932209	-0.227351542
CXCL11	-1.496612602	0.005606269
TACSTD2	-1.50696214	-0.188845369
POU5F1	-1.510764211	0.114333181
ST6GAL1	-1.512531491	-0.338447742
DUSP4	-1.513631251	-0.280234283
PCAT1	-1.516410184	-0.127776938
APOF	-1.518207177	-0.240999005
UGT1A3	-1.518273901	0.189303827
SNORD88C	-1.550112399	-0.257796995
POU5F1B	-1.567185401	-0.08682855
STEAP4	-1.572370979	-0.249827935
TNFSF15	-1.636999369	-0.592321855
IRF1	-1.641965667	-0.340834342
TM4SF1	-1.642967625	-0.198890474
PIK3R5	-1.645246285	-0.161585091
TFF1	-1.645438683	-0.044191727
LINC01291	-1.647748447	0.120804353
LAMB3	-1.655697384	-0.400821275
IFIT2	-1.669131111	-0.340341555
APOL1	-1.674305981	-0.22557264
LOC101929705	-1.683340546	-0.325634219
APOL3	-1.715287864	-0.341158412
OASL	-1.715977574	-0.203100573
CYP4F12	-1.773638167	-0.564787377
NPC1	-1.777345036	-0.27174548
ADORA2A-AS1	-1.793335885	-0.850550377
ABCA12	-1.829890369	-0.258873599
NEURL3	-1.831168651	0.051239676
PSMB9	-1.860952046	0.493491306
IFIT3	-1.879941619	-0.284402428
IFI44L	-1.882330212	-0.317900746
TENM1	-1.886290767	-0.111553955
SLPI	-1.890373144	-0.244592527
IFIT1	-1.890825547	-0.395618039
CTSS	-1.903964226	0.396396195
CYP4F30P	-1.922568847	-0.17068161
HSD17B2	-1.962384833	-0.349356114
CFB	-1.965215113	-0.056271706
BIRC3	-2.024703562	-0.265234707
PRSS23	-2.086226916	-0.150884362
