GENE_NAME	mr88	mr89	mr90	mr91
DDX11L1	0	0	0	0
WASH7P	2	4	2	3
MIR6859-3	0	0	0	0
MIR6859-2	0	0	0	0
MIR6859-1	0	0	0	0
MIR6859-4	0	0	0	0
MIR1302-2	0	0	0	0
MIR1302-11	0	0	0	0
MIR1302-9	0	0	0	0
MIR1302-10	0	0	0	0
FAM138A	0	0	0	0
FAM138C	0	0	0	0
FAM138F	0	0	0	0
OR4F5	0	0	0	0
LOC729737	2	0	0	2
FAM138D	0	0	0	0
OR4F29	0	0	0	0
OR4F3	0	0	0	0
OR4F16	0	0	0	0
LOC100132287	0	0	0	0
LOC100132062	0	0	0	0
LOC101928626	0	0	0	0
MIR6723	0	0	2	3
LOC100133331	12	20	14	9
LOC100288069	12	12	12	17
FAM87B	2	8	7	7
LINC00115	4	13	7	12
LINC01128	104	147	107	110
FAM41C	0	0	0	2
LOC100130417	54	46	52	51
SAMD11	86	99	87	87
NOC2L	1271	1374	1057	1107
KLHL17	252	308	261	247
PLEKHN1	116	128	108	100
PERM1	38	33	35	34
HES4	418	462	604	673
ISG15	175	219	221	227
AGRN	1594	1797	1335	1455
RNF223	30	21	19	14
C1orf159	84	100	79	67
LINC01342	0	0	0	0
MIR200B	2	0	1	2
MIR200A	0	3	0	2
MIR429	1	2	7	3
TTLL10	9	6	1	2
TNFRSF18	7	2	4	0
TNFRSF4	0	2	1	0
SDF4	1766	1997	2046	2087
B3GALT6	799	887	614	631
FAM132A	7	5	5	6
UBE2J2	638	696	525	566
SCNN1D	51	78	76	91
ACAP3	1097	1164	935	937
MIR6726	0	0	0	0
PUSL1	206	254	196	242
CPSF3L	846	888	636	694
MIR6727	3	2	5	1
CPTP	436	491	360	423
TAS1R3	14	15	6	7
DVL1	1168	1320	1129	1154
MIR6808	2	0	0	0
MXRA8	351	336	485	489
AURKAIP1	897	855	837	813
CCNL2	1463	1552	1485	1437
LOC148413	228	284	231	238
MRPL20	662	796	739	774
ANKRD65	1	6	0	3
TMEM88B	0	2	0	1
LOC102724312	30	26	25	43
VWA1	667	712	695	687
ATAD3C	4	8	5	9
ATAD3B	293	321	198	233
ATAD3A	423	454	388	416
TMEM240	2	10	3	3
SSU72	1067	1168	990	1019
C1orf233	466	546	463	498
MIB2	450	499	471	483
MMP23B	0	0	0	0
MMP23A	0	0	0	1
CDK11B	277	332	214	246
