"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mr88","mr89","mr90","mr91"
"1","DHCR24",28561.3500068042,-0.689024987081784,0.0156687943274537,-43.974346250402,0,0,21800.5747478393,21933.1119685459,35405.1052427094,35106.6080681222
"2","HMGCS2",3810.17940326808,-3.90024168384142,0.0565932260580443,-68.9171117377401,0,0,450.445330099541,504.604456108213,7137.52601350755,7148.141813357
"3","EDEM3",5664.25798704558,-1.72749316306801,0.0341441456582864,-50.5941246958324,0,0,2660.56513452273,2595.36700543113,8747.48617941883,8653.61362880963
"4","SCD",12992.1515323611,-1.17726010591714,0.0231048025719263,-50.9530476294823,0,0,8043.38682921224,7891.90517644512,18188.3443525958,17844.9697711911
"5","NEAT1",11256.2239367277,-1.2069139527431,0.0239215584676435,-50.452981747639,0,0,6847.74824649151,6762.42315909896,15711.3996097303,15703.3247315899
"6","MALAT1",32166.9485770701,-0.940197736577173,0.0157692381158137,-59.6222677133858,0,0,22309.7738166475,21777.5708100322,42241.7746679455,42338.6750136552
"7","NCAPD3",13949.5949164438,-1.4955511822141,0.0235871502437612,-63.4053358187972,0,0,7251.19058562414,7354.74559413638,20921.9337836642,20270.5097023505
"8","ABHD2",31673.4396336404,-0.960959820262026,0.0151068325534831,-63.6109400736334,0,0,21377.5478291371,21616.6037971518,41867.5910259018,41832.0158823707
"9","FASN",65584.1139107991,-1.49374566711498,0.0112641795646742,-132.610249911103,0,0,34293.5780552523,34447.8450654663,96694.6604670224,96900.3720554554
"10","GDF15",15496.8758341372,-1.16454129014982,0.0212497097948463,-54.8026914905093,0,0,9556.29560095962,9566.68555765016,21207.6936255708,21656.8285523682
"11","KLK3",31916.7730959062,-1.36257647094661,0.0159163514511475,-85.6085941007781,0,0,17658.4361688805,18083.4682953332,45992.2378005908,45932.9501188205
"12","FN1",5390.58929690905,-1.88589481695925,0.0362753288151313,-51.9883589910451,0,0,2239.4966737775,2350.29924986603,8572.7952571967,8399.76600679594
"13","ACSL3",18755.4826520585,-1.14926227487854,0.0203030217990377,-56.6054790392341,0,0,11858.4629293597,11458.5001135254,25952.3853402457,25752.5822251034
"14","AGR2",2982.13552327268,-2.20022756471428,0.0480223970615311,-45.8166959449178,0,0,1069.31804449717,1062.56314682285,4926.93101007946,4869.72989169125
"15","STEAP4",3441.03825291144,-2.76600074291951,0.049361195079675,-56.0359354844397,0,0,918.516781811673,847.337590274903,5929.78630431757,6068.51233524162
"16","SAT1",5204.10359283064,-1.38537998761398,0.0362425741809394,-38.2252094097273,0,0,2881.87088365859,2881.1286687469,7348.88046261579,7704.5343563013
"17","ACSL1",4551.03851015929,-1.37644525021583,0.0367189243853382,-37.4859904873858,1.55801586309123e-307,1.16988661719762e-304,2502.90926898789,2558.29033392497,6558.45795651199,6584.49648121231
"18","CENPN",6918.26975215534,-1.15644816773069,0.0308611113312702,-37.4726676339394,2.56792891702172e-307,1.82108959032123e-304,4214.60152336614,4353.34382025975,9664.07435157193,9441.05931342354
"19","MAF",1709.40000292508,2.48738203570151,0.067482403727026,36.8597130262764,2.04399296105714e-297,1.3732405340997e-294,2967.06380478611,2835.9132156906,517.60273250999,517.020258713603
"20","PRKACB",9654.36554958363,-0.875713725638958,0.0254921753090168,-34.3522557421457,1.30331634777005e-258,8.31841658964232e-256,6840.89364364216,6781.4136493826,12593.9214853837,12401.2334199261
"21","XBP1",3037.82045479228,-1.51345553591279,0.0447203683153928,-33.8426447036184,4.65607965849414e-251,2.83023127812751e-248,1584.39248717621,1568.07191199219,4476.18529718535,4522.63212281538
"22","PRUNE2",6085.5448113525,-1.05666138084049,0.0322121682968606,-32.8031745985715,5.30529961042575e-236,3.0782795239584e-233,3994.27500320876,3909.32807124696,8324.77728120233,8113.79888975195
"23","KLK2",5690.0131496226,-1.0947378928244,0.0335805762859573,-32.6003307239904,4.05719764874491e-233,2.25174469505343e-230,3705.40245455797,3554.83891928564,7688.55725582547,7811.25396882134
"24","ASAH1",3691.66368749347,-1.30045211097746,0.0404307347359422,-32.1649388632402,5.46048419779901e-227,2.90429503270435e-224,2144.51146286521,2119.70043927895,5302.19299114921,5200.2498566805
"25","ACAD8",2084.42141292259,-1.77859177213857,0.0559545662222784,-31.7863561853586,9.99270250268573e-222,5.10227389787133e-219,962.58208584315,919.682315164969,3292.16904656875,3163.25220411348
"26","TSC22D1",4800.71409563799,-1.10337968653654,0.0351620194568703,-31.3798724754687,3.80840621884094e-216,1.80052982901869e-213,3034.63060430104,3063.79909909431,6580.02473703324,6524.40194212336
"27","SPDEF",4117.11037218744,-1.20968549529238,0.0385490457584203,-31.3804264539583,3.74270735195203e-216,1.80052982901869e-213,2443.17630130077,2526.63951678557,5790.68056995551,5707.94510070789
"28","FKBP5",13797.5333106059,-0.70560052489979,0.0224923953624631,-31.3706260951355,5.09170314956863e-216,2.32127109658013e-213,10338.699554763,10636.483176962,17236.1709925827,16978.7795181158
"29","CHPT1",2479.10409098133,-1.55888755551696,0.0499286555067554,-31.2223018964738,5.30789241002606e-214,2.33638781427527e-211,1285.72764874065,1228.05170500888,3694.38950329005,3708.24750688574
"30","NRP1",2129.84879470126,1.69054135077141,0.0545169097306318,31.0094860314787,4.01573697488241e-211,1.70869608281246e-208,3233.41408693192,3270.88587409213,1001.77695521204,1013.31826256894
