48724000	48724050	48724100	48724150	48724200	48724250	48724300	48724350	48724400	48724450	48724500	48724550	48724600	48724650	48724700	48724750	48724800	48724850	48724900	48724950	48725000	48725050	48725100	48725150	48725200	48725250	48725300	48725350	48725400	48725450	48725500	48725550	48725600	48725650	48725700	48725750	48725800	48725850	48725900	48725950	48726000	48726050	48726100	48726150	48726200	48726250	48726300	48726350	48726400	48726450	48726500	48726550	48726600	48726650	48726700	48726750	48726800	48726850	48726900	48726950	48727000	48727050	48727100	48727150	48727200	48727250	48727300	48727350	48727400	48727450	48727500	48727550	48727600	48727650	48727700	48727750	48727800	48727850	48727900	48727950	48728000	48728050	48728100	48728150	48728200	48728250	48728300	48728350	48728400	48728450	48728500	48728550	48728600	48728650	48728700	48728750	48728800	48728850	48728900	48728950	48729000
0.02	0.04	0.04	0.02	0.03	0.07	0	0	0.03	0.01	0	0.01	0.01	0.01	0	0	NaN	NaN	0.04	0.01	0	0	0	0.01	0	0.02	0.05	0	0.01	0.01	0.01	0.01	0.02	0.03	0.01	NaN	0	0.03	0.02	NaN	NaN	NaN	0.02	0	NaN	0	0.02	0	0.04	0.03	0.05	NaN	0.04	NaN	NaN	0	0.03	0.01	0.03	0.01	0.01	0.03	0	0.01	0.02	0.01	0.01	NaN	0.04	0.07	NaN	NaN	0.06	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.03	0.02	0.01	0.02	0.01	0	0.02	0	0.01	0	0	0.01	0.01	0	0.02	NaN	0.02	NaN	NaN
0.15	0.12	0.22	0.21	0.04	0.26	0.01	0.07	0.38	0.22	0.01	0	0.01	0	0	0.02	NaN	NaN	0.12	0	0.09	0.03	0.17	0.04	0.02	0.02	0	0.04	0.12	0.19	0.14	0.08	0.05	0.09	0.06	NaN	0.13	0.22	0	NaN	NaN	NaN	0.15	0.22	NaN	0.02	0.05	0.12	0.18	0.15	0.11	NaN	0.34	NaN	NaN	0.05	0.15	0.09	0.15	0.12	0.17	0.18	NaN	0.09	0.28	0.12	0.31	NaN	0.26	0.31	NaN	NaN	0.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.15	0.29	0.05	0.14	0.2	0.06	0	0.02	0.02	0.03	0.06	0.01	0.04	0.05	0.13	0.08	NaN	0.18	NaN	NaN
0.04	0.06	0.15	0.09	0.03	0.05	0	0.02	0.06	0.06	0	0.01	0	0.02	0	0.03	NaN	NaN	0.07	0	0.01	0	0.07	0.01	0	0.04	0.04	0	0	0	0.01	0	0	0	0.05	NaN	0.03	0.1	0.02	NaN	NaN	NaN	0.1	0.05	NaN	0.03	0	0.06	0.11	0.04	0.06	NaN	0.07	NaN	NaN	0.08	0.04	0.02	0.06	0.03	0.06	0.04	NaN	0.08	0.01	0	0.06	NaN	0.06	0.08	NaN	NaN	0.06	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.06	0.09	0.06	0.03	0.04	0.01	0.02	0.06	0.01	0.03	0	0	0.02	0.04	0.03	0	NaN	0.05	NaN	NaN
0	0	0	0	0.03	0.03	0	0	0.03	0.01	0	0	0.01	0	0.01	0.03	NaN	NaN	0.02	0	0	0.03	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	NaN	0.02	0.01	0	NaN	NaN	NaN	0.02	0.04	0	0	0	0.06	0.02	0.02	0	NaN	0.01	NaN	NaN	0.03	0	0	0	0.01	0.02	0	NaN	0.01	0.01	0.01	0	NaN	0.01	0	NaN	NaN	0.02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0.01	0.01	0	NaN	0	NaN	NaN
0	0	0	0.05	0.03	0.05	0	0	0.01	0.04	0	0.01	0.03	0.03	0.03	0	NaN	NaN	0	0	0.01	0	0	0.01	0	0.01	0	0	0.03	0.01	0	0	0.01	0	0.01	NaN	0	0.03	0.04	NaN	NaN	NaN	0	0	NaN	0	0	0	0.02	0	0	NaN	0	NaN	NaN	0.02	0.03	0.01	0	0.01	0.01	0	NaN	0.04	0.03	0.02	0.08	NaN	0.01	0.04	NaN	NaN	0.04	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.05	0.01	0.01	0.01	0.01	0.02	0	0	0	0	0	0	0	0.01	0	NaN	0	NaN	NaN
0.04	0	0.1	0.1	0.06	0.16	0.02	0.03	0.16	0.13	0	0	0	0.05	0	0	NaN	NaN	0.1	0	0	0.04	0.03	0.01	0.04	0.1	0	0.04	0.01	0.03	0.03	0.02	0.03	0.02	0.01	NaN	0.04	0.17	0.05	NaN	NaN	NaN	0.08	0.1	NaN	0.02	0.03	0	0.14	0	0.12	NaN	0.2	NaN	NaN	0.07	0.21	0.09	0.09	0.04	0.08	0.02	NaN	0.15	0.21	0.09	0.19	NaN	0.21	0.28	NaN	NaN	0.18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.11	0.22	0.05	0.05	0.1	0.02	0.01	0.06	0.02	0.04	0	0.04	0	0.01	0.01	0.03	NaN	0.03	NaN	NaN
0.04	0	0	0	0	0.07	0	0	0.03	0	0.01	0	0	0.03	0.02	0	NaN	NaN	0	0.03	0	0	0.03	0.04	0.03	0.03	0	0.03	0.03	0.01	0	0	0.01	0	0	NaN	0	0	0	NaN	NaN	NaN	0.02	0	NaN	0	0	0	0.02	0	0	NaN	0.07	NaN	NaN	0	0.02	0.01	0.02	0	0	0	NaN	0.02	0.01	0	0.02	NaN	0.04	0.07	NaN	NaN	0.03	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.06	0.03	0.03	0.06	0	0	0.05	0.03	0.01	0	0	0	0	0	0	NaN	0	NaN	NaN
0.06	0.06	0.1	0.09	0.05	0.05	0	0	0.09	0.02	0	0	0.01	0.01	0	0	NaN	NaN	0	0	0	0	0	0	0.02	0.01	0	0	0.02	0.07	0.01	0.01	0.01	0.05	0	NaN	0.08	0.02	0	NaN	NaN	NaN	0.03	0	NaN	0	0.02	0.07	0.02	0.02	0.04	NaN	0.04	NaN	NaN	0	0.03	0.04	0.01	0.05	0.04	0.06	NaN	0.07	0.11	0.03	0.03	NaN	0.08	0.1	NaN	NaN	0.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.03	0.09	0.02	0.04	0.02	0	0.01	0.02	0.01	0.03	0.03	0.02	0	0.01	0	0	NaN	0	NaN	NaN
0.08	0.02	0.08	0	0.03	0.14	0.01	0	0.03	0.02	0.01	0.01	0	0.01	0	0.02	NaN	NaN	0.05	0	0	0.02	0.03	0.01	0	0	0	0	0	0.02	0.03	0.02	0.04	0.03	0.02	NaN	0.02	0.09	0.04	NaN	NaN	NaN	0.03	0.08	0	0.03	0.02	0	0.04	0.06	0.08	NaN	0.06	NaN	NaN	0.03	0.01	0	0	0.03	0	0	NaN	0.06	0.05	0.03	0.05	NaN	0.04	0.07	NaN	NaN	0.12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.07	0.04	0.03	0.05	0.01	0	0.02	0.01	0	0.04	0.01	0.01	0	0.02	0	NaN	0.03	NaN	NaN
0.06	0.02	0.11	0.09	0.06	0.07	0	0	0.11	0.08	0	0.01	0	0	0	0	NaN	NaN	0	0	0	0.03	0	0.01	0	0.01	0	0	0	0	0.03	0.02	0	0.05	0.02	NaN	0.03	0.08	0.05	NaN	NaN	NaN	0	0	NaN	0	0	0	0.01	0	0	NaN	0.01	NaN	NaN	0	0.01	0.02	0.01	0.02	0.02	0.03	NaN	0.01	0.05	0	0.03	NaN	0.02	0.07	NaN	NaN	0.05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.03	0.12	0.05	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0	0	0	NaN	0.02	NaN	NaN
0.12	0.04	0.2	0.09	0.21	0.54	0.05	0	0.49	0.27	0.03	0	0	0.02	0	0	NaN	NaN	0.5	0.27	0.27	0.33	0.4	0.35	0.24	0.27	0.05	0.3	0.37	0.43	0.26	0.37	0.18	0.03	0.05	0	0.08	0.14	0.06	NaN	NaN	NaN	0.23	0.26	NaN	0.11	0.33	0.32	0.4	0.2	0.34	NaN	0.32	NaN	NaN	0.19	0.26	0.21	0.18	0.15	0.2	0.19	NaN	0.01	0.11	0.06	0.09	NaN	0.08	0.18	NaN	NaN	0.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.05	0.1	0.01	0.13	0.12	0.01	0.02	0.04	0	0.06	0	0.03	0	0	0.04	0	NaN	0.09	NaN	NaN
0.04	0.02	0.12	0	0	0.14	0.01	0	0.18	0.05	0.02	0.01	0	0	0	0	NaN	NaN	0	0	0	0.02	0.03	0	0.01	0.02	0	0.03	0.03	0.02	0.01	0.01	0.04	0	0.02	NaN	0.02	0.05	0	NaN	NaN	NaN	0	0.02	NaN	0	0.01	0.05	0	0.04	0.08	NaN	0.03	NaN	NaN	0.02	0.05	0.01	0.03	0.05	0.04	0	NaN	0.03	0.07	0.02	0.06	NaN	0.08	0.09	NaN	NaN	0.11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.05	0.05	0	0.01	0.02	0.02	0.02	0	0.01	0.03	0	0	0	0.01	0	0	NaN	0	NaN	NaN
0.07	0.04	0.1	0.04	0	0.15	0.02	0.02	0.12	0.09	0	0	0.01	0.02	0	0.04	NaN	NaN	0.03	0	0.02	0	0.02	0.01	0.01	0.01	0	0.04	0.02	0.01	0.01	0.02	0.04	0.01	0.02	NaN	0.1	0.16	0.02	NaN	NaN	NaN	0	0.03	NaN	0.02	0.02	0.04	0.01	0.06	0.05	NaN	0.1	NaN	NaN	0.06	0.05	0.03	0.06	0.03	0.04	0.01	NaN	0.09	0.12	0.01	0.05	NaN	0.08	0.11	NaN	NaN	0.06	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.06	0.13	0	0.03	0.06	0	0.02	0.07	0.04	0.07	0	0.04	0.03	0.05	0.04	0	NaN	0.14	NaN	NaN
